Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
Kepler-20 e,,,,,,,,,
Kepler-20 f,,,,,,,,,
Kepler-20 g,,287.6979913,42.3385782,,,,,,
Kepler-200 b,,,,,,,,,
Kepler-200 c,,,,,,,,,
Kepler-2000 b,,,,,,,,,
Kepler-2000 c,,,,,,,,,
Kepler-2001 b,,,,,,,,,
Kepler-2001 c,,,,,,,,,
Kepler-202 b,,,,,,,,,
Kepler-202 c,,,,,,,,,
Kepler-203 b,,,,,,,,,
Kepler-203 c,,,,,,,,,
Kepler-203 d,,,,,,,,,
Kepler-204 c,,,,,,,,,
Kepler-205 b,,,,,,,,,
Kepler-205 c,,,,,,,,,
Kepler-206 b,,,,,,,,,
Kepler-206 c,,,,,,,,,
Kepler-206 d,,,,,,,,,
Kepler-208 b,,,,,,,,,
Kepler-208 c,,,,,,,,,
Kepler-208 d,,,,,,,,,
Kepler-208 e,,,,,,,,,
Kepler-209 b,,,,,,,,,
Kepler-209 c,,,,,,,,,
Kepler-210 b,,,,,,,,,
Kepler-210 c,,,,,,,,,
Kepler-211 b,,,,,,,,,
Kepler-211 c,,,,,,,,,
Kepler-215 b,,,,,,,,,
Kepler-215 c,,,,,,,,,
Kepler-215 d,,,,,,,,,
Kepler-215 e,,,,,,,,,
Kepler-218 b,,,,,,,,,
Kepler-22 b,,,,,,,,,
Kepler-220 b,,,,,,,,,
Kepler-220 c,,,,,,,,,
Kepler-220 d,,,,,,,,,
Kepler-220 e,,,,,,,,,
Kepler-221 b,,,,,,,,,
Kepler-221 c,,,,,,,,,
Kepler-221 d,,,,,,,,,
Kepler-221 e,,,,,,,,,
Kepler-222 b,,,,,,,,,
Kepler-222 c,,,,,,,,,
Kepler-222 d,,,,,,,,,
Kepler-224 b,,,,,,,,,
Kepler-224 c,,,,,,,,,
Kepler-224 d,,,,,,,,,
Kepler-224 e,,,,,,,,,
Kepler-225 b,,,,,,,,,
Kepler-225 c,,,,,,,,,
Kepler-226 b,,,,,,,,,
Kepler-226 c,,,,,,,,,
Kepler-226 d,,,,,,,,,
Kepler-229 b,,,,,,,,,
Kepler-229 c,,,,,,,,,
Kepler-229 d,,,,,,,,,
Kepler-23 b,,,,,,,,,
Kepler-23 c,,,,,,,,,
Kepler-23 d,,,,,,,,,
Kepler-230 b,,,,,,,,,
Kepler-230 c,,,,,,,,,
Kepler-231 b,,,,,,,,,
Kepler-231 c,,,,,,,,,
Kepler-233 b,,,,,,,,,
Kepler-233 c,,,,,,,,,
Kepler-235 b,,,,,,,,,
Kepler-235 c,,,,,,,,,
Kepler-235 d,,,,,,,,,
Kepler-235 e,,,,,,,,,
Kepler-236 b,,,,,,,,,
Kepler-236 c,,,,,,,,,
Kepler-237 b,,,,,,,,,
Kepler-237 c,,,,,,,,,
Kepler-238 b,,,,,,,,,
Kepler-238 c,,,,,,,,,
Kepler-238 d,,,,,,,,,
Kepler-238 f,,,,,,,,,
Kepler-239 b,,,,,,,,,
Kepler-239 c,,,,,,,,,
Kepler-24 b,,,,,,,,,
Kepler-24 c,,,,,,,,,
Kepler-24 d,,,,,,,,,
Kepler-24 e,,,,,,,,,
Kepler-240 b,,,,,,,,,
Kepler-240 c,,,,,,,,,
Kepler-241 b,,,,,,,,,
Kepler-241 c,,,,,,,,,
Kepler-242 b,,,,,,,,,
Kepler-242 c,,,,,,,,,
Kepler-243 b,,,,,,,,,
Kepler-243 c,,,,,,,,,
Kepler-244 b,,,,,,,,,
Kepler-244 c,,,,,,,,,
Kepler-244 d,,,,,,,,,
Kepler-245 b,,,,,,,,,
Kepler-245 c,,,,,,,,,
Kepler-245 d,,,,,,,,,
Kepler-245 e,,,,,,,,,
Kepler-246 b,,,,,,,,,
Kepler-246 c,,,,,,,,,
Kepler-247 b,,,,,,,,,
Kepler-247 c,,,,,,,,,
Kepler-247 d,,,,,,,,,
Kepler-248 b,,,,,,,,,
Kepler-249 b,,,,,,,,,
Kepler-249 c,,,,,,,,,
Kepler-249 d,,,,,,,,,
Kepler-25 b,,,,,,,,,
Kepler-250 b,,,,,,,,,
Kepler-250 c,,,,,,,,,
Kepler-250 d,,,,,,,,,
Kepler-251 b,,,,,,,,,
Kepler-251 c,,,,,,,,,
Kepler-251 d,,,,,,,,,
Kepler-251 e,,,,,,,,,
Kepler-252 b,,,,,,,,,
Kepler-252 c,,,,,,,,,
Kepler-253 b,,,,,,,,,
Kepler-253 c,,,,,,,,,
Kepler-253 d,,,,,,,,,
Kepler-255 d,,,,,,,,,
Kepler-256 b,,,,,,,,,
Kepler-256 c,,,,,,,,,
Kepler-256 d,,,,,,,,,
Kepler-256 e,,,,,,,,,
Kepler-257 b,,,,,,,,,
Kepler-257 c,,,,,,,,,
Kepler-257 d,,,,,,,,,
Kepler-258 b,,,,,,,,,
Kepler-258 c,,,,,,,,,
Kepler-26 b,,,,,,,,,
Kepler-26 c,,,,,,,,,
Kepler-26 d,,,,,,,,,
Kepler-26 e,,,,,,,,,
Kepler-260 b,,,,,,,,,
Kepler-260 c,,,,,,,,,
Kepler-261 b,,,,,,,,,
Kepler-261 c,,,,,,,,,
Kepler-262 b,,,,,,,,,
Kepler-262 c,,,,,,,,,
Kepler-263 b,,,,,,,,,
Kepler-263 c,,,,,,,,,
Kepler-265 b,,,,,,,,,
Kepler-265 c,,,,,,,,,
Kepler-265 d,,,,,,,,,
Kepler-265 e,,,,,,,,,
Kepler-267 b,,,,,,,,,
Kepler-267 c,,,,,,,,,
Kepler-267 d,,,,,,,,,
Kepler-27 d,,,,,,,,,
Kepler-271 b,,,,,,,,,
Kepler-271 c,,,,,,,,,
Kepler-271 d,,,,,,,,,
Kepler-272 b,,,,,,,,,
Kepler-272 c,,,,,,,,,
Kepler-272 d,,,,,,,,,
Kepler-273 b,,,,,,,,,
Kepler-28 b,,,,,,,,,
Kepler-28 c,,,,,,,,,
Kepler-282 b,,,,,,,,,
Kepler-282 c,,,,,,,,,
Kepler-282 d,,,,,,,,,
Kepler-282 e,,,,,,,,,
Kepler-283 b,,,,,,,,,
Kepler-283 c,,,,,,,,,
Kepler-285 b,,,,,,,,,
Kepler-285 c,,,,,,,,,
Kepler-286 b,,,,,,,,,
Kepler-286 c,,,,,,,,,
Kepler-286 d,,,,,,,,,
Kepler-286 e,,,,,,,,,
Kepler-289 b,,,,,,,,,
Kepler-289 d,,,,,,,,,
Kepler-29 b,,,,,,,,,
Kepler-29 c,,,,,,,,,
Kepler-290 b,,,,,,,,,
Kepler-290 c,,,,,,,,,
Kepler-290 d,,,,,,,,,
Kepler-292 b,,,,,,,,,
Kepler-292 c,,,,,,,,,
Kepler-292 d,,,,,,,,,
Kepler-292 e,,,,,,,,,
Kepler-292 f,,,,,,,,,
Kepler-295 b,,,,,,,,,
Kepler-295 c,,,,,,,,,
Kepler-295 d,,,,,,,,,
Kepler-296 b,,,,,,,,,
Kepler-296 c,,,,,,,,,
Kepler-296 d,,,,,,,,,
Kepler-296 e,,,,,,,,,
Kepler-296 f,,,,,,,,,
Kepler-297 b,,,,,,,,,
Kepler-297 c,,,,,,,,,
Kepler-298 b,,,,,,,,,
Kepler-298 c,,,,,,,,,
Kepler-298 d,,,,,,,,,
Kepler-299 b,,,,,,,,,
Kepler-299 c,,,,,,,,,
Kepler-299 d,,,,,,,,,
Kepler-299 e,,,,,,,,,
Kepler-301 b,,,,,,,,,
Kepler-301 c,,,,,,,,,
Kepler-301 d,,,,,,,,,
Kepler-303 b,,,,,,,,,
Kepler-303 c,,,,,,,,,
Kepler-304 b,,,,,,,,,
Kepler-304 c,,,,,,,,,
Kepler-304 d,,,,,,,,,
Kepler-304 e,,,,,,,,,
Kepler-305 b,,,,,,,,,
Kepler-305 c,,,,,,,,,
Kepler-305 d,,,,,,,,,
Kepler-305 e,,,,,,,,,
Kepler-306 b,,,,,,,,,
Kepler-306 c,,,,,,,,,
Kepler-306 d,,,,,,,,,
Kepler-306 e,,,,,,,,,
Kepler-307 b,,,,,,,,,
Kepler-307 c,,,,,,,,,
Kepler-309 b,,,,,,,,,
Kepler-309 c,,,,,,,,,
Kepler-310 b,,,,,,,,,
Kepler-310 c,,,,,,,,,
Kepler-310 d,,,,,,,,,
Kepler-311 b,,,,,,,,,
Kepler-311 c,,,,,,,,,
Kepler-311 d,,,,,,,,,
Kepler-314 b,,,,,,,,,
Kepler-315 b,,,,,,,,,
Kepler-315 c,,,,,,,,,
Kepler-316 b,,,,,,,,,
Kepler-316 c,,,,,,,,,
Kepler-317 b,,,,,,,,,
Kepler-317 c,,,,,,,,,
Kepler-319 b,,,,,,,,,
Kepler-319 c,,,,,,,,,
Kepler-319 d,,,,,,,,,
Kepler-32 d,,,,,,,,,
Kepler-32 e,,,,,,,,,
Kepler-32 f,,,,,,,,,
Kepler-321 b,,,,,,,,,
Kepler-322 b,,,,,,,,,
Kepler-322 c,,,,,,,,,
Kepler-323 b,,,,,,,,,
Kepler-323 c,,,,,,,,,
Kepler-324 b,,,,,,,,,
Kepler-324 c,,,,,,,,,
Kepler-324 e,,,,,,,,,
Kepler-325 b,,,,,,,,,
Kepler-325 c,,,,,,,,,
Kepler-325 d,,,,,,,,,
Kepler-326 b,,,,,,,,,
Kepler-326 c,,,,,,,,,
Kepler-326 d,,,,,,,,,
Kepler-327 b,,,,,,,,,
Kepler-327 c,,,,,,,,,
Kepler-327 d,,,,,,,,,
Kepler-329 b,,,,,,,,,
Kepler-329 c,,,,,,,,,
Kepler-33 b,,,,,,,,,
Kepler-33 c,,,,,,,,,
Kepler-33 d,,,,,,,,,
Kepler-33 e,,,,,,,,,
Kepler-33 f,,,,,,,,,
Kepler-330 b,,,,,,,,,
Kepler-330 c,,,,,,,,,
Kepler-331 b,,,,,,,,,
Kepler-331 c,,,,,,,,,
Kepler-331 d,,,,,,,,,
Kepler-332 b,,,,,,,,,
Kepler-332 c,,,,,,,,,
Kepler-332 d,,,,,,,,,
Kepler-333 b,,,,,,,,,
Kepler-333 c,,,,,,,,,
Kepler-334 b,,,,,,,,,
Kepler-334 c,,,,,,,,,
Kepler-334 d,,,,,,,,,
Kepler-338 b,,,,,,,,,
Kepler-338 c,,,,,,,,,
Kepler-338 d,,,,,,,,,
Kepler-338 e,,,,,,,,,
Kepler-339 b,,,,,,,,,
Kepler-339 c,,,,,,,,,
Kepler-339 d,,,,,,,,,
Kepler-341 b,,,,,,,,,
Kepler-341 c,,,,,,,,,
Kepler-341 d,,,,,,,,,
Kepler-341 e,,,,,,,,,
Kepler-342 b,,,,,,,,,
Kepler-342 c,,,,,,,,,
Kepler-342 d,,,,,,,,,
Kepler-342 e,,,,,,,,,
Kepler-345 b,,,,,,,,,
Kepler-345 c,,,,,,,,,
Kepler-351 b,,,,,,,,,
Kepler-351 c,,,,,,,,,
Kepler-351 d,,,,,,,,,
Kepler-352 b,,,,,,,,,
Kepler-352 c,,,,,,,,,
Kepler-352 d,,,,,,,,,
Kepler-353 b,,,,,,,,,
Kepler-353 c,,,,,,,,,
Kepler-354 b,,,,,,,,,
Kepler-354 c,,,,,,,,,
Kepler-354 d,,,,,,,,,
Kepler-357 b,,,,,,,,,
Kepler-357 c,,,,,,,,,
Kepler-357 d,,,,,,,,,
Kepler-36 b,,,,,,,,,
Kepler-36 c,,,,,,,,,
Kepler-365 b,,,,,,,,,
Kepler-365 c,,,,,,,,,
Kepler-367 b,,,,,,,,,
Kepler-367 c,,,,,,,,,
Kepler-369 b,,,,,,,,,
Kepler-369 c,,,,,,,,,
Kepler-37 b,,,,,,,,,
Kepler-37 c,,,,,,,,,
Kepler-37 d,,,,,,,,,
Kepler-37 e,,,,,,,,,
Kepler-371 b,,,,,,,,,
Kepler-371 c,,,,,,,,,
Kepler-376 b,,,,,,,,,
Kepler-376 c,,,,,,,,,
Kepler-378 b,,,,,,,,,
Kepler-378 c,,,,,,,,,
Kepler-381 b,,,,,,,,,
Kepler-381 c,,,,,,,,,
Kepler-381 d,,,,,,,,,
Kepler-382 b,,,,,,,,,
Kepler-382 c,,,,,,,,,
Kepler-383 b,,,,,,,,,
Kepler-383 c,,,,,,,,,
Kepler-384 b,,,,,,,,,
Kepler-384 c,,,,,,,,,
Kepler-385 d,,,,,,,,,
Kepler-386 b,,,,,,,,,
Kepler-386 c,,,,,,,,,
Kepler-387 b,,,,,,,,,
Kepler-387 c,,,,,,,,,
Kepler-388 b,,,,,,,,,
Kepler-388 c,,,,,,,,,
Kepler-389 b,,,,,,,,,
Kepler-389 c,,,,,,,,,
Kepler-390 b,,,,,,,,,
Kepler-390 c,,,,,,,,,
Kepler-391 b,,,,,,,,,
Kepler-391 c,,,,,,,,,
Kepler-392 b,,,,,,,,,
Kepler-392 c,,,,,,,,,
Kepler-394 d,,,,,,,,,
Kepler-395 b,,,,,,,,,
Kepler-395 c,,,,,,,,,
Kepler-396 b,,,,,,,,,
Kepler-396 c,,,,,,,,,
Kepler-397 b,,,,,,,,,
Kepler-397 c,,,,,,,,,
Kepler-398 b,,,,,,,,,
Kepler-398 c,,,,,,,,,
Kepler-398 d,,,,,,,,,
Kepler-399 b,,,,,,,,,
Kepler-399 c,,,,,,,,,
Kepler-399 d,,,,,,,,,
Kepler-402 b,,,,,,,,,
Kepler-402 c,,,,,,,,,
Kepler-402 d,,,,,,,,,
Kepler-402 e,,,,,,,,,
Kepler-404 b,,,,,,,,,
Kepler-404 c,,,,,,,,,
Kepler-405 b,,,,,,,,,
Kepler-406 b,,,,,,,,,
Kepler-406 c,,,,,,,,,
Kepler-409 b,,,,,,,,,
Kepler-411 b,,,,,,,,,
Kepler-411 c,,,,,,,,,
Kepler-411 d,,,,,,,,,
Kepler-411 e,,,,,,,,,
Kepler-413 b,,,,,,,,,
Kepler-414 b,,,,,,,,,
Kepler-414 c,,,,,,,,,
Kepler-415 b,,,,,,,,,
Kepler-415 c,,,,,,,,,
Kepler-416 b,,,,,,,,,
Kepler-416 c,,,,,,,,,
Kepler-416 d,,,,,,,,,
Kepler-417 b,,,,,,,,,
Kepler-417 c,,,,,,,,,
Kepler-42 b,,,,,,,,,
Kepler-42 c,,,,,,,,,
Kepler-42 d,,,,,,,,,
Kepler-421 b,,,,,,,,,
Kepler-431 b,,,,,,,,,
Kepler-431 c,,,,,,,,,
Kepler-431 d,,,,,,,,,
Kepler-436 b,,,,,,,,,
Kepler-436 c,,,,,,,,,
Kepler-437 b,,,,,,,,,
Kepler-438 b,,,,,,,,,
Kepler-440 b,,,,,,,,,
Kepler-441 b,,,,,,,,,
Kepler-442 b,,,,,,,,,
Kepler-443 b,,,,,,,,,
Kepler-444 b,,,,,,,,,
Kepler-444 c,,,,,,,,,
Kepler-444 d,,,,,,,,,
Kepler-444 e,,,,,,,,,
Kepler-444 f,,,,,,,,,
Kepler-445 b,,,,,,,,,
Kepler-445 c,,,,,,,,,
Kepler-445 d,,,,,,,,,
Kepler-446 b,,,,,,,,,
Kepler-446 c,,,,,,,,,
Kepler-446 d,,,,,,,,,
Kepler-449 b,,,,,,,,,
Kepler-449 c,,,,,,,,,
Kepler-450 d,,,,,,,,,
Kepler-454 b,,,,,,,,,
Kepler-46 d,,,,,,,,,
Kepler-463 b,,,,,,,,,
Kepler-466 c,,,,,,,,,
Kepler-47 b,,,,,,,,,
Kepler-47 c,,,,,,,,,
Kepler-472 b,,,,,,,,,
Kepler-475 b,,,,,,,,,
Kepler-477 b,,,,,,,,,
Kepler-478 b,,,,,,,,,
Kepler-479 b,,,,,,,,,
Kepler-48 b,,,,,,,,,
Kepler-48 c,,,,,,,,,
Kepler-48 d,,,,,,,,,
Kepler-48 e,,299.1393094,40.948939,,,,,,
Kepler-48 f,,299.1393094,40.948939,,,,,,
Kepler-482 b,,,,,,,,,
Kepler-484 b,,,,,,,,,
Kepler-487 c,,,,,,,,,
Kepler-487 d,,,,,,,,,
Kepler-49 b,,,,,,,,,
Kepler-49 c,,,,,,,,,
Kepler-49 d,,,,,,,,,
Kepler-49 e,,,,,,,,,
Kepler-495 b,,,,,,,,,
Kepler-495 c,,,,,,,,,
Kepler-496 b,,,,,,,,,
Kepler-499 b,,,,,,,,,
Kepler-504 b,,,,,,,,,
Kepler-505 b,,,,,,,,,
Kepler-510 b,,,,,,,,,
Kepler-511 c,,,,,,,,,
Kepler-515 b,,,,,,,,,
Kepler-518 b,,,,,,,,,
Kepler-519 b,,,,,,,,,
Kepler-52 d,,,,,,,,,
Kepler-523 b,,,,,,,,,
Kepler-529 b,,,,,,,,,
Kepler-529 c,,,,,,,,,
Kepler-529 d,,,,,,,,,
Kepler-531 b,,,,,,,,,
Kepler-532 b,,,,,,,,,
Kepler-533 b,,,,,,,,,
Kepler-534 b,,,,,,,,,
Kepler-538 b,,,,,,,,,
Kepler-54 b,,,,,,,,,
Kepler-54 c,,,,,,,,,
Kepler-54 d,,,,,,,,,
Kepler-542 b,,,,,,,,,
Kepler-543 b,,,,,,,,,
Kepler-547 b,,,,,,,,,
Kepler-549 b,,,,,,,,,
Kepler-549 c,,,,,,,,,
Kepler-549 d,,,,,,,,,
Kepler-55 b,,,,,,,,,
Kepler-55 c,,,,,,,,,
Kepler-55 d,,,,,,,,,
Kepler-55 e,,,,,,,,,
Kepler-55 f,,,,,,,,,
Kepler-551 b,,,,,,,,,
Kepler-558 b,,,,,,,,,
Kepler-560 b,,,,,,,,,
Kepler-561 c,,,,,,,,,
Kepler-563 b,,,,,,,,,
Kepler-566 b,,,,,,,,,
Kepler-567 b,,,,,,,,,
Kepler-568 b,,,,,,,,,
Kepler-57 b,,,,,,,,,
Kepler-57 c,,,,,,,,,
Kepler-572 b,,,,,,,,,
Kepler-577 b,,,,,,,,,
Kepler-578 b,,,,,,,,,
Kepler-58 d,,,,,,,,,
Kepler-58 e,,,,,,,,,
Kepler-580 b,,,,,,,,,
Kepler-589 b,,,,,,,,,
Kepler-589 c,,,,,,,,,
Kepler-598 b,,,,,,,,,
Kepler-598 c,,,,,,,,,
Kepler-599 b,,,,,,,,,
Kepler-600 b,,,,,,,,,
Kepler-601 b,,,,,,,,,
Kepler-605 b,,,,,,,,,
Kepler-605 c,,,,,,,,,
Kepler-607 b,,,,,,,,,
Kepler-607 c,,,,,,,,,
Kepler-61 b,,,,,,,,,
Kepler-614 b,,,,,,,,,
Kepler-615 b,,,,,,,,,
Kepler-616 b,,,,,,,,,
Kepler-616 c,,,,,,,,,
Kepler-616 d,,,,,,,,,
Kepler-617 b,,,,,,,,,
Kepler-619 c,,,,,,,,,
Kepler-619 d,,,,,,,,,
Kepler-621 b,,,,,,,,,
Kepler-622 b,,,,,,,,,
Kepler-629 b,,,,,,,,,
Kepler-632 b,,,,,,,,,
Kepler-633 b,,,,,,,,,
Kepler-633 c,,,,,,,,,
Kepler-636 b,,,,,,,,,
Kepler-646 b,,,,,,,,,
Kepler-647 b,,,,,,,,,
Kepler-647 c,,,,,,,,,
Kepler-649 b,,,,,,,,,
Kepler-65 b,,,,,,,,,
Kepler-65 c,,,,,,,,,
Kepler-65 d,,,,,,,,,
Kepler-651 b,,,,,,,,,
Kepler-656 b,,,,,,,,,
Kepler-658 b,,,,,,,,,
Kepler-659 b,,,,,,,,,
Kepler-660 b,,,,,,,,,
Kepler-661 b,,,,,,,,,
Kepler-662 b,,,,,,,,,
Kepler-665 b,,,,,,,,,
Kepler-668 b,,,,,,,,,
Kepler-67 b,,,,,,,,,
Kepler-674 b,,,,,,,,,
Kepler-675 b,,,,,,,,,
Kepler-676 b,,,,,,,,,
Kepler-68 b,,,,,,,,,
Kepler-68 c,,,,,,,,,
Kepler-681 b,,,,,,,,,
Kepler-687 b,,,,,,,,,
Kepler-69 b,,,,,,,,,
Kepler-69 c,,,,,,,,,
Kepler-691 b,,,,,,,,,
Kepler-705 b,,,,,,,,,
Kepler-707 b,,,,,,,,,
Kepler-709 b,,,,,,,,,
Kepler-711 b,,,,,,,,,
Kepler-712 b,,,,,,,,,
Kepler-712 c,,,,,,,,,
Kepler-716 b,,,,,,,,,
Kepler-716 c,,,,,,,,,
Kepler-721 b,,,,,,,,,
Kepler-732 b,,,,,,,,,
Kepler-732 c,,,,,,,,,
Kepler-737 b,,,,,,,,,
Kepler-742 b,,,,,,,,,
Kepler-743 b,,,,,,,,,
Kepler-744 b,,,,,,,,,
Kepler-746 b,,,,,,,,,
Kepler-749 b,,,,,,,,,
Kepler-751 b,,,,,,,,,
Kepler-753 b,,,,,,,,,
Kepler-755 b,,,,,,,,,
Kepler-755 c,,,,,,,,,
Kepler-756 b,,,,,,,,,
Kepler-758 b,,,,,,,,,
Kepler-758 c,,,,,,,,,
Kepler-758 d,,,,,,,,,
Kepler-758 e,,,,,,,,,
Kepler-760 b,,,,,,,,,
Kepler-760 c,,,,,,,,,
Kepler-763 b,,,,,,,,,
Kepler-763 c,,,,,,,,,
Kepler-763 d,,,,,,,,,
Kepler-768 b,,,,,,,,,
Kepler-770 b,,,,,,,,,
Kepler-770 c,,,,,,,,,
Kepler-770 d,,,,,,,,,
Kepler-775 b,,,,,,,,,
Kepler-776 b,,,,,,,,,
Kepler-777 b,,,,,,,,,
Kepler-778 b,,,,,,,,,
Kepler-779 b,,,,,,,,,
Kepler-78 b,,,,,,,,,
Kepler-781 b,,,,,,,,,
Kepler-783 b,,,,,,,,,
Kepler-783 c,,,,,,,,,
Kepler-786 b,,,,,,,,,
Kepler-787 b,,,,,,,,,
Kepler-79 b,,,,,,,,,
Kepler-79 c,,,,,,,,,
Kepler-79 e,,,,,,,,,
Kepler-790 b,,,,,,,,,
Kepler-80 b,,,,,,,,,
Kepler-80 c,,,,,,,,,
Kepler-80 d,,,,,,,,,
Kepler-80 e,,,,,,,,,
Kepler-80 f,,,,,,,,,
Kepler-801 b,,,,,,,,,
Kepler-804 b,,,,,,,,,
Kepler-804 c,,,,,,,,,
Kepler-808 b,,,,,,,,,
Kepler-81 b,,,,,,,,,
Kepler-81 c,,,,,,,,,
Kepler-81 d,,,,,,,,,
Kepler-819 b,,,,,,,,,
Kepler-82 b,,,,,,,,,
Kepler-82 c,,,,,,,,,
Kepler-82 d,,,,,,,,,
Kepler-82 e,,,,,,,,,
Kepler-82 f,,292.8733696,42.9661583,,,,,,
Kepler-821 b,,,,,,,,,
Kepler-825 b,,,,,,,,,
Kepler-825 c,,,,,,,,,
Kepler-828 b,,,,,,,,,
Kepler-83 b,,,,,,,,,
Kepler-83 c,,,,,,,,,
Kepler-83 d,,,,,,,,,
Kepler-833 b,,,,,,,,,
Kepler-834 b,,,,,,,,,
Kepler-837 b,,,,,,,,,
Kepler-84 b,,,,,,,,,
Kepler-84 c,,,,,,,,,
Kepler-84 d,,,,,,,,,
Kepler-84 e,,,,,,,,,
Kepler-84 f,,,,,,,,,
Kepler-842 b,,,,,,,,,
Kepler-844 b,,,,,,,,,
Kepler-845 b,,,,,,,,,
Kepler-847 b,,,,,,,,,
Kepler-85 b,,,,,,,,,
Kepler-85 c,,,,,,,,,
Kepler-85 d,,,,,,,,,
Kepler-85 e,,,,,,,,,
Kepler-851 b,,,,,,,,,
Kepler-859 b,,,,,,,,,
Kepler-861 b,,,,,,,,,
Kepler-865 b,,,,,,,,,
Kepler-865 c,,,,,,,,,
Kepler-866 b,,,,,,,,,
Kepler-876 b,,,,,,,,,
Kepler-877 b,,,,,,,,,
Kepler-878 b,,,,,,,,,
Kepler-882 b,,,,,,,,,
Kepler-888 b,,,,,,,,,
Kepler-892 b,,,,,,,,,
Kepler-894 b,,,,,,,,,
Kepler-895 b,,,,,,,,,
Kepler-898 b,,,,,,,,,
Kepler-9 d,,,,,,,,,
Kepler-90 i,,,,,,,,,
Kepler-900 b,,,,,,,,,
Kepler-901 b,,,,,,,,,
Kepler-913 b,,,,,,,,,
Kepler-916 b,,,,,,,,,
Kepler-92 d,,,,,,,,,
Kepler-920 b,,,,,,,,,
Kepler-920 c,,,,,,,,,
Kepler-922 b,,,,,,,,,
Kepler-925 b,,,,,,,,,
Kepler-928 b,,,,,,,,,
Kepler-93 b,,,,,,,,,
Kepler-931 b,,,,,,,,,
Kepler-932 b,,,,,,,,,
Kepler-934 b,,,,,,,,,
Kepler-935 b,,,,,,,,,
Kepler-94 b,,,,,,,,,
Kepler-942 b,,,,,,,,,
Kepler-949 b,,,,,,,,,
Kepler-949 c,,,,,,,,,
Kepler-951 b,,,,,,,,,
Kepler-953 c,,,,,,,,,
Kepler-954 b,,,,,,,,,
Kepler-958 b,,,,,,,,,
Kepler-960 b,,,,,,,,,
Kepler-962 b,,,,,,,,,
Kepler-964 b,,,,,,,,,
Kepler-967 b,,,,,,,,,
Kepler-967 c,,,,,,,,,
Kepler-968 b,,,,,,,,,
Kepler-968 c,,,,,,,,,
Kepler-969 b,,,,,,,,,
Kepler-969 c,,,,,,,,,
Kepler-97 b,,,,,,,,,
Kepler-970 b,,,,,,,,,
Kepler-971 b,,,,,,,,,
Kepler-973 b,,,,,,,,,
Kepler-974 b,,,,,,,,,
Kepler-975 b,,,,,,,,,
Kepler-977 b,,,,,,,,,
Kepler-979 b,,,,,,,,,
Kepler-988 b,,,,,,,,,
Kepler-989 b,,,,,,,,,
Kepler-99 b,,,,,,,,,
Kepler-991 b,,,,,,,,,
Kepler-992 b,,,,,,,,,
Kepler-993 b,,,,,,,,,
Kepler-994 b,,,,,,,,,
Kepler-995 b,,,,,,,,,
L 168-9 b,,350.0285917,-60.0657292,,,,,,
L 98-59 b,,124.5328604,-68.3144658,,,,,,
L 98-59 c,,124.5328604,-68.3144658,,,,,,
L 98-59 d,,124.5328604,-68.3144658,,,,,,
L 98-59 e,,124.5328604,-68.3144658,,,,,,
LHS 1140 b,,11.248632,-15.2741085,,,,,,
LHS 1140 c,,11.248632,-15.2741085,,,,,,
LHS 1478 b,,44.3388743,76.5514045,,,,,,
LHS 1815 b,,91.0899861,-55.3115376,,,,,,
LP 714-47 b,,64.1902212,-12.0848643,,,,,,
LP 791-18 b,,165.6904843,-16.4064445,,,,,,
LP 791-18 c,,165.6904843,-16.4064445,,,,,,
LP 791-18 d,,165.6904843,-16.4064445,,,,,,
LSPM J2116+0234 b,,319.1147513,2.5807711,,,,,,
LTT 1445 A b,,45.4624781,-16.5944956,,,,,,
LTT 1445 A c,,45.4624781,-16.5944956,,,,,,
LTT 3780 b,,154.6449033,-11.717801,,,,,,
LTT 3780 c,,154.6449033,-11.717801,,,,,,
NGTS-1 b,,82.7142134,-36.6309812,,,,,,
NGTS-4 b,,89.5988945,-30.8117992,,,,,,
Ross 128 b,,176.9376036,0.7992898,,,,,,
Ross 508 b,,230.9613022,17.4605347,,,,,,
TOI-1062 b,,38.1209678,-78.0236828,,,,,,
TOI-1062 c,,38.1209678,-78.0236828,,,,,,
TOI-1064 b,,296.0039349,-47.5620305,,,,,,
TOI-1064 c,,296.0039349,-47.5620305,,,,,,
TOI-1075 b,,309.9712091,-65.4496994,,,,,,
TOI-1130 b,,286.3760037,-41.4376399,,,,,,
TOI-1130 c,,286.3760037,-41.4376399,,,,,,
TOI-1136 b,,192.1848981,64.8552755,,,,,,
TOI-1136 c,,192.1848981,64.8552755,,,,,,
TOI-1136 d,,192.1848981,64.8552755,,,,,,
TOI-1136 e,,192.1848981,64.8552755,,,,,,
TOI-1136 f,,192.1848981,64.8552755,,,,,,
TOI-1136 g,,192.1848981,64.8552755,,,,,,
TOI-1174 b,,209.2171751,68.6182106,,,,,,
TOI-1180 b,,214.5557741,82.1937642,,,,,,
TOI-1184 b,,272.2045196,60.6787845,,,,,,
TOI-1201 b,,42.2476999,-14.5372835,,,,,,
TOI-1231 b,,156.74726,-52.4678724,,,,,,
TOI-1235 b,,152.2182549,69.2766204,,,,,,
TOI-1244 b,,256.279559,69.519093,,,,,,
TOI-1246 b,,251.1158702,70.4299917,,,,,,
