Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
HD 155358 c,,257.3930947,33.3549277,,,,,,
HD 155918 b,,260.5364025,-75.349239,,,,,,
HD 155918 c,,260.5364025,-75.349239,,,,,,
HD 156668 b,,259.4183491,29.228161,,,,,,
HD 156668 c,,259.4183491,29.228161,,,,,,
HD 15906 b,,38.2712534,-10.352178,,,,,,
HD 15906 c,,38.2712534,-10.352178,,,,,,
HD 160691 d,,266.0361585,-51.8348751,,,,,,
HD 162020 b,,267.6599252,-40.3184646,,,,,,
HD 164922 b,,270.6304652,26.3104077,,,,,,
HD 164922 c,,270.6304652,26.3104077,,,,,,
HD 164922 d,,270.6304652,26.3104077,,,,,,
HD 164922 e,,270.6304652,26.3104077,,,,,,
HD 167768 b,,274.2213308,-3.0085807,,,,,,
HD 176986 b,,285.7739138,-11.044941,,,,,,
HD 176986 c,,285.7739138,-11.044941,,,,,,
HD 180617 b,,289.2277322,5.1631615,,,,,,
HD 18143 b,,43.9140248,26.8723829,,,,,,
HD 181433 b,,291.2873731,-66.4677838,,,,,,
HD 18599 b,,44.2620144,-56.1918694,,,,,,
HD 189567 b,,301.3959616,-67.3237992,,,,,,
HD 189567 c,,301.3959616,-67.3237992,,,,,,
HD 190007 b,,300.6956339,3.3266992,,,,,,
HD 191939 b,,302.0256247,66.8503014,,,,,,
HD 191939 c,,302.0256247,66.8503014,,,,,,
HD 191939 d,,302.0256247,66.8503014,,,,,,
HD 191939 e,,302.0256247,66.8503014,,,,,,
HD 191939 f,,302.0256247,66.8503014,,,,,,
HD 191939 g,,302.0256247,66.8503014,,,,,,
HD 192310 b,,303.8284712,-27.0337556,,,,,,
HD 192310 c,,303.8284712,-27.0337556,,,,,,
HD 199509 b,,317.3445632,-82.0274926,,,,,,
HD 20003 b,,46.9090081,-72.3219221,,,,,,
HD 20003 c,,46.9090081,-72.3219221,,,,,,
HD 20329 b,,49.178124,15.6563542,,,,,,
HD 204313 c,,322.0510568,-21.7274194,,,,,,
HD 204941 b,,323.0966714,-20.957957,,,,,,
HD 207496 b,,328.7181708,-77.3388025,,,,,,
HD 20781 b,,50.0139757,-28.7841175,,,,,,
HD 20781 c,,50.0139757,-28.7841175,,,,,,
HD 20781 d,,50.0139757,-28.7841175,,,,,,
HD 20781 e,,50.0139757,-28.7841175,,,,,,
HD 20782 b,,50.0166232,-28.8543535,,,,,,
HD 207897 b,,325.2016451,84.3337613,,,,,,
HD 20794 b,,49.9997666,-43.0666533,,,,,,
HD 20794 c,,49.9997666,-43.0666533,,,,,,
HD 20794 d,,49.9997666,-43.0666533,,,,,,
HD 20794 e,,49.9997666,-43.0666533,,,,,,
HD 20868 b,,50.1794053,-33.72969,,,,,,
HD 213885 b,,338.9837166,-59.864829,,,,,,
HD 213885 c,,338.9837166,-59.864829,,,,,,
HD 21411 b,,51.5474155,-30.6168403,,,,,,
HD 215152 b,,340.8380941,-6.4020685,,,,,,
HD 215152 c,,340.8380941,-6.4020685,,,,,,
HD 215152 d,,340.8380941,-6.4020685,,,,,,
HD 215152 e,,340.8380941,-6.4020685,,,,,,
HD 215497 b,,341.652714,-56.5997984,,,,,,
HD 216520 b,,341.8768719,83.6975307,,,,,,
HD 216520 c,,341.8768719,83.6975307,,,,,,
HD 21693 b,,51.8040469,-58.3232726,,,,,,
HD 21693 c,,51.8040469,-58.3232726,,,,,,
HD 21749 c,,51.7501882,-63.500166,,,,,,
HD 217786 c,,345.7838088,-0.4303594,,,,,,
HD 219134 b,,348.3372026,57.1696255,,,,,,
HD 219134 c,,348.3372026,57.1696255,,,,,,
HD 219134 g,,348.3372026,57.1696255,,,,,,
HD 219134 h,,348.3372026,57.1696255,,,,,,
HD 220197 b,,350.4946927,16.6323305,,,,,,
HD 222237 b,,354.9078642,-72.7253271,,,,,,
HD 22496 b,,53.7565398,-48.4178173,,,,,,
HD 22781 b,,55.2065581,31.8258855,,,,,,
HD 22946 d,,54.819538,-42.7630276,,,,,,
HD 233832 b,,171.5196515,50.3763099,,,,,,
HD 23472 b,,55.4590314,-62.7672667,,,,,,
HD 23472 c,,55.4590314,-62.7672667,,,,,,
HD 23472 d,,55.4590314,-62.7672667,,,,,,
HD 23472 e,,55.4590314,-62.7672667,,,,,,
HD 23472 f,,55.4590314,-62.7672667,,,,,,
HD 235088 b,,300.6154535,53.3774418,,,,,,
HD 238090 b,,183.0886375,54.486153,,,,,,
HD 260655 b,,99.2915429,17.5662696,,,,,,
HD 260655 c,,99.2915429,17.5662696,,,,,,
HD 27894 c,,65.1975693,-59.4096776,,,,,,
HD 28109 b,,65.2383065,-68.1026875,,,,,,
HD 28109 c,,65.2383065,-68.1026875,,,,,,
HD 28109 d,,65.2383065,-68.1026875,,,,,,
HD 285968 b,,70.7353853,18.953358,,,,,,
HD 29985 b,,70.5216589,-33.9210696,,,,,,
HD 31527 b,,73.9096193,-23.2413163,,,,,,
HD 31527 c,,73.9096193,-23.2413163,,,,,,
HD 31527 d,,73.9096193,-23.2413163,,,,,,
HD 3167 b,,8.7401487,4.3807215,,,,,,
HD 3167 c,,8.7401487,4.3807215,,,,,,
HD 3167 d,,8.7401487,4.3807215,,,,,,
HD 3167 e,,8.7401487,4.3807215,,,,,,
HD 34445 b,,79.4207483,7.3527156,,,,,,
HD 34445 c,,79.4207483,7.3527156,,,,,,
HD 34445 d,,79.4207483,7.3527156,,,,,,
HD 34445 e,,79.4207483,7.3527156,,,,,,
HD 34445 f,,79.4207483,7.3527156,,,,,,
HD 34445 g,,79.4207483,7.3527156,,,,,,
HD 37124 b,,84.2599947,20.7289784,,,,,,
HD 37124 c,,84.2599947,20.7289784,,,,,,
HD 37124 d,,84.2599947,20.7289784,,,,,,
HD 39194 b,,86.129071,-70.1382377,,,,,,
HD 39194 c,,86.129071,-70.1382377,,,,,,
HD 39194 d,,86.129071,-70.1382377,,,,,,
HD 40307 b,,88.5172191,-60.0237289,,,,,,
HD 40307 c,,88.5172191,-60.0237289,,,,,,
HD 40307 d,,88.5172191,-60.0237289,,,,,,
HD 40307 f,,88.5172191,-60.0237289,,,,,,
HD 40307 g,,88.5172191,-60.0237289,,,,,,
HD 42618 b,,93.0032173,6.7819742,,,,,,
HD 42813 b,,93.0578446,-14.6493167,,,,,,
HD 4308 b,,11.1652594,-65.6527159,,,,,,
HD 45184 b,,96.1820205,-28.7806402,,,,,,
HD 45184 c,,96.1820205,-28.7806402,,,,,,
HD 45364 b,,96.4105736,-31.4810037,,,,,,
HD 48948 b,,102.489811,60.3373133,,,,,,
HD 48948 c,,102.489811,60.3373133,,,,,,
HD 48948 d,,102.489811,60.3373133,,,,,,
HD 51608 b,,103.7137102,-55.2600189,,,,,,
HD 51608 c,,103.7137102,-55.2600189,,,,,,
HD 5278 b,,12.5467785,-83.7437671,,,,,,
HD 5278 c,,12.5467785,-83.7437671,,,,,,
HD 63433 b,,117.4793699,27.3631342,,,,,,
HD 63433 c,,117.4793699,27.3631342,,,,,,
HD 63433 d,,117.4793699,27.3631342,,,,,,
HD 63454 b,,114.8406393,-78.2791464,,,,,,
HD 63935 b,,117.9246417,9.3852412,,,,,,
HD 63935 c,,117.9246417,9.3852412,,,,,,
